Tournament,Date,Participation,Winner,Runner-up,Final Score,Overview_Serve_Ace %_Winner,Overview_Serve_Ace %_Runner-up,Overview_Serve_Double Fault %_Winner,Overview_Serve_Double Fault %_Runner-up,Overview_Serve_1st Serve %_Winner,Overview_Serve_1st Serve %_Runner-up,Overview_Serve_1st Serve Won %_Winner,Overview_Serve_1st Serve Won %_Runner-up,Overview_Serve_2nd Serve Won %_Winner,Overview_Serve_2nd Serve Won %_Runner-up,Overview_Serve_Break Points Saved %_Winner,Overview_Serve_Break Points Saved %_Runner-up,Overview_Serve_Service Points Won %_Winner,Overview_Serve_Service Points Won %_Runner-up,Overview_Return_1st Srv. Return Won %_Winner,Overview_Return_1st Srv. Return Won %_Runner-up,Overview_Return_2nd Srv. Return Won %_Winner,Overview_Return_2nd Srv. Return Won %_Runner-up,Overview_Return_Break Points Won %_Winner,Overview_Return_Break Points Won %_Runner-up,Overview_Return_Return Points Won %_Winner,Overview_Return_Return Points Won %_Runner-up,Overview_Total_Points Dominance_Winner,Overview_Total_Total Points Won %_Winner,Overview_Total_Total Points Won %_Runner-up,Overview_Total_Match Time_Winner,AcesDFs_Aces_Aces_Winner,AcesDFs_Aces_Ace %_Winner,AcesDFs_Aces_Ace %_Runner-up,AcesDFs_Aces_Aces per Svc. Game_Winner,AcesDFs_Aces_Aces per Svc. Game_Runner-up,AcesDFs_Aces_Aces per Set_Winner,AcesDFs_Aces_Aces per Set_Runner-up,AcesDFs_Double Faults_Double Faults_Winner,AcesDFs_Double Faults_Double Fault %_Winner,AcesDFs_Double Faults_Double Fault %_Runner-up,AcesDFs_Double Faults_DFs per 2nd Serve %_Winner,AcesDFs_Double Faults_DFs per 2nd Serve %_Runner-up,AcesDFs_Double Faults_DFs per Svc. Game_Winner,AcesDFs_Double Faults_DFs per Svc. Game_Runner-up,AcesDFs_Double Faults_DFs per Set_Winner,AcesDFs_Double Faults_DFs per Set_Runner-up,AcesDFs_Other_Aces / DFs Ratio_Winner,AcesDFs_Other_Aces / DFs Ratio_Runner-up,Serve_Serve_1st Serve %_Winner,Serve_Serve_1st Serve %_Runner-up,Serve_Serve_1st Serve Won %_Winner,Serve_Serve_1st Serve Won %_Runner-up,Serve_Serve_2nd Serve Won %_Winner,Serve_Serve_2nd Serve Won %_Runner-up,Serve_Serve_1st Serve Effectiveness_Winner,Serve_Serve_Serve Rating_Winner,Serve_Points_Service Points Won %_Winner,Serve_Points_Service Points Won %_Runner-up,Serve_Points_Svc. In-play Pts. Won %_Winner,Serve_Points_Svc. In-play Pts. Won %_Runner-up,Serve_Points_Points per Service Game_Winner,Serve_Points_Points per Service Game_Runner-up,Serve_Points_Pts. Lost per Svc. Game_Winner,Serve_Points_Pts. Lost per Svc. Game_Runner-up,Serve_Points_Break Points Saved %_Winner,Serve_Points_Break Points Saved %_Runner-up,Serve_Points_BPs per Svc. Game_Winner,Serve_Points_BPs per Svc. Game_Runner-up,Serve_Points_BPs Faced per Set_Winner,Serve_Points_BPs Faced per Set_Runner-up,Serve_Games_Service Games Won %_Winner,Serve_Games_Service Games Won %_Runner-up,Serve_Games_Svc. Gms. Lost per Set_Winner,Serve_Games_Svc. Gms. Lost per Set_Runner-up,Return_Return_1st Srv. Return Won %_Winner,Return_Return_1st Srv. Return Won %_Runner-up,Return_Return_2nd Srv. Return Won %_Winner,Return_Return_2nd Srv. Return Won %_Runner-up,Return_Return_Return Rating_Winner,Return_Points_Return Points Won %_Winner,Return_Points_Return Points Won %_Runner-up,Return_Points_Rtn. In-play Pts. Won %_Winner,Return_Points_Rtn. In-play Pts. Won %_Runner-up,Return_Points_Points per Return Game_Winner,Return_Points_Points per Return Game_Runner-up,Return_Points_Pts. Won per Rtn. Game_Winner,Return_Points_Pts. Won per Rtn. Game_Runner-up,Return_Points_Break Points Won %_Winner,Return_Points_Break Points Won %_Runner-up,Return_Points_BPs per Return Game_Winner,Return_Points_BPs per Return Game_Runner-up,Return_Points_BPs per Set_Winner,Return_Points_BPs per Set_Runner-up,Return_Games_Return Games Won %_Winner,Return_Games_Return Games Won %_Runner-up,Return_Games_Rtn. Gms. Won per Set_Winner,Return_Games_Rtn. Gms. Won per Set_Runner-up,Total_Points & Games_Total Points Played_Winner,Total_Points & Games_Total Points Won_Winner,Total_Points & Games_Total Points Won %_Winner,Total_Points & Games_Total Points Won %_Runner-up,Total_Points & Games_Rtn. to Svc. Points Ratio_Winner,Total_Points & Games_Rtn. to Svc. Points Ratio_Runner-up,Total_Points & Games_Total Games Played_Winner,Total_Points & Games_Total Games Won_Winner,Total_Points & Games_Games Won %_Winner,Total_Points & Games_Games Won %_Runner-up,Total_Dominance_Points Dominance_Winner,Total_Dominance_Games Dominance_Winner,Total_Dominance_Break Points Ratio_Winner,Total_Time_Point Time (seconds)_Winner,Total_Time_Game Time (minutes)_Winner,Total_Time_Set Time (minutes)_Winner,Total_Time_Match Time_Winner
Roland Garros 1993,24-05-1993,92.0%,Sergi Bruguera,Jim Courier,6-4 2-6 6-2 3-6 6-3,3 / 136,5 / 169,0 / 136,0 / 169,99 / 136,113 / 169,67 / 99,77 / 113,22 / 37,26 / 56,8 / 12,16 / 21,89 / 136,103 / 169,36 / 113,32 / 99,30 / 56,15 / 37,5 / 21,4 / 12,66 / 169,47 / 136,0.88,155 / 305,150 / 305,0:00,5,3 / 136,5 / 169,3 / 22,5 / 22,3 / 5,5 / 5,0,0 / 136,0 / 169,0 / 37,0 / 56,0 / 22,0 / 22,0 / 5,0 / 5,3 / 0,5 / 0,99 / 136,113 / 169,67 / 99,77 / 113,22 / 37,26 / 56,1.47,338,89 / 136,103 / 169,86 / 133,98 / 164,136 / 22,169 / 22,47 / 22,66 / 22,8 / 12,16 / 21,12 / 22,21 / 22,12 / 5,21 / 5,18 / 22,17 / 22,4 / 5,5 / 5,36 / 113,32 / 99,30 / 56,15 / 37,124,66 / 169,47 / 136,66.0 / 164.0,47.0 / 133.0,169 / 22,136 / 22,66 / 22,47 / 22,5 / 21,4 / 12,21 / 22,12 / 22,21 / 5,12 / 5,5 / 22,4 / 22,5 / 5,4 / 5,305,150,155 / 305,150 / 305,169 / 136,136 / 169,44,21,23 / 44,21 / 44,0.88,0.80,1.40,0.0,0.00,0.0,0:00
Roland Garros 1992,25-05-1992,94.4%,Jim Courier,Petr Korda,7-5 6-2 6-1,7 / 91,5 / 106,3 / 91,10 / 106,68 / 91,69 / 106,52 / 68,39 / 69,9 / 23,10 / 37,4 / 6,7 / 14,61 / 91,49 / 106,30 / 69,16 / 68,27 / 37,14 / 23,7 / 14,2 / 6,57 / 106,30 / 91,0.61,118 / 197,79 / 197,1:59,5,7 / 91,5 / 106,7 / 14,5 / 13,7 / 3,5 / 3,10,3 / 91,10 / 106,3 / 23,10 / 37,3 / 14,10 / 13,3 / 3,10 / 3,7 / 3,5 / 10,68 / 91,69 / 106,52 / 68,39 / 69,9 / 23,10 / 37,2.09,240,61 / 91,49 / 106,54 / 81,44 / 91,91 / 14,106 / 13,30 / 14,57 / 13,4 / 6,7 / 14,6 / 14,14 / 13,6 / 3,14 / 3,12 / 14,6 / 13,2 / 3,7 / 3,30 / 69,16 / 68,27 / 37,14 / 23,132,57 / 106,30 / 91,47.0 / 91.0,27.0 / 81.0,106 / 13,91 / 14,57 / 13,30 / 14,7 / 14,2 / 6,14 / 13,6 / 14,14 / 3,6 / 3,7 / 13,2 / 14,7 / 3,2 / 3,197,79,118 / 197,79 / 197,106 / 91,91 / 106,27,8,19 / 27,8 / 27,0.61,0.27,0.67,36.2,4.41,39.7,1:59
Roland Garros 1991,27-05-1991,89.3%,Jim Courier,Andre Agassi,3-6 6-4 2-6 6-1 6-4,9 / 145,1 / 133,2 / 145,2 / 133,88 / 145,80 / 133,57 / 88,52 / 80,33 / 57,26 / 53,14 / 19,7 / 13,90 / 145,78 / 133,28 / 80,31 / 88,27 / 53,24 / 57,6 / 13,5 / 19,55 / 133,55 / 145,0.92,145 / 278,133 / 278,3:25,1,9 / 145,1 / 133,9 / 22,1 / 22,9 / 5,1 / 5,2,2 / 145,2 / 133,2 / 57,2 / 53,2 / 22,2 / 22,2 / 5,2 / 5,9 / 2,1 / 2,88 / 145,80 / 133,57 / 88,52 / 80,33 / 57,26 / 53,1.33,300,90 / 145,78 / 133,81 / 134,77 / 130,145 / 22,133 / 22,55 / 22,55 / 22,14 / 19,7 / 13,19 / 22,13 / 22,19 / 5,13 / 5,17 / 22,16 / 22,5 / 5,6 / 5,28 / 80,31 / 88,27 / 53,24 / 57,126,55 / 133,55 / 145,53.0 / 130.0,53.0 / 134.0,133 / 22,145 / 22,55 / 22,55 / 22,6 / 13,5 / 19,13 / 22,19 / 22,13 / 5,19 / 5,6 / 22,5 / 22,6 / 5,5 / 5,278,133,145 / 278,133 / 278,133 / 145,145 / 133,44,21,23 / 44,21 / 44,0.92,0.83,0.57,44.2,4.66,41.0,3:25
Wimbledon 2019,01-07-2019,94.2%,Novak Djokovic,Roger Federer,7-6(5) 1-6 7-6(4) 4-6 13-12,10 / 219,25 / 203,9 / 219,6 / 203,136 / 219,127 / 203,101 / 136,100 / 127,39 / 83,39 / 76,6 / 13,5 / 8,140 / 219,139 / 203,27 / 127,35 / 136,37 / 76,44 / 83,3 / 8,7 / 13,64 / 203,79 / 219,1.14,204 / 422,218 / 422,4:57,25,10 / 219,25 / 203,10 / 34,25 / 34,10 / 5,25 / 5,6,9 / 219,6 / 203,9 / 83,6 / 76,9 / 34,6 / 34,9 / 5,6 / 5,10 / 9,25 / 6,136 / 219,127 / 203,101 / 136,100 / 127,39 / 83,39 / 76,1.53,356,140 / 219,139 / 203,130 / 200,114 / 172,219 / 34,203 / 34,79 / 34,64 / 34,6 / 13,5 / 8,13 / 34,8 / 34,13 / 5,8 / 5,27 / 34,31 / 34,7 / 5,3 / 5,27 / 127,35 / 136,37 / 76,44 / 83,153,64 / 203,79 / 219,58.0 / 172.0,70.0 / 200.0,203 / 34,219 / 34,64 / 34,79 / 34,3 / 8,7 / 13,8 / 34,13 / 34,8 / 5,13 / 5,3 / 34,7 / 34,3 / 5,7 / 5,422,218,204 / 422,218 / 422,203 / 219,219 / 203,66,36,30 / 66,36 / 66,1.14,2.33,1.44,42.2,4.50,59.4,4:57
Wimbledon 2018,02-07-2018,92.5%,Novak Djokovic,Kevin Anderson,6-2 6-2 7-6(3),6 / 94,10 / 80,4 / 94,5 / 80,68 / 94,49 / 80,52 / 68,34 / 49,17 / 26,15 / 31,7 / 7,0 / 4,69 / 94,49 / 80,15 / 49,16 / 68,16 / 31,9 / 26,4 / 4,0 / 7,31 / 80,25 / 94,0.69,100 / 174,74 / 174,2:19,10,6 / 94,10 / 80,6 / 15,10 / 14,6 / 3,10 / 3,5,4 / 94,5 / 80,4 / 26,5 / 31,4 / 15,5 / 14,4 / 3,5 / 3,6 / 4,10 / 5,68 / 94,49 / 80,52 / 68,34 / 49,17 / 26,15 / 31,1.43,257,69 / 94,49 / 80,63 / 84,39 / 65,94 / 15,80 / 14,25 / 15,31 / 14,7 / 7,0 / 4,7 / 15,4 / 14,7 / 3,4 / 3,15 / 15,10 / 14,0 / 3,4 / 3,15 / 49,16 / 68,16 / 31,9 / 26,58,31 / 80,25 / 94,26.0 / 65.0,21.0 / 84.0,80 / 14,94 / 15,31 / 14,25 / 15,4 / 4,0 / 7,4 / 14,7 / 15,4 / 3,7 / 3,4 / 14,0 / 15,4 / 3,0 / 3,174,74,100 / 174,74 / 174,80 / 94,94 / 80,28,10,18 / 28,10 / 28,0.69,0.00,0.00,47.9,4.96,46.3,2:19
Wimbledon 2017,03-07-2017,91.8%,Roger Federer,Marin Cilic,6-3 6-1 6-4,8 / 70,5 / 90,2 / 70,3 / 90,53 / 70,54 / 90,43 / 53,35 / 54,12 / 17,14 / 36,1 / 1,5 / 10,55 / 70,49 / 90,19 / 54,10 / 53,22 / 36,5 / 17,5 / 10,0 / 1,41 / 90,15 / 70,0.47,96 / 160,64 / 160,1:41,5,8 / 70,5 / 90,8 / 13,5 / 13,8 / 3,5 / 3,3,2 / 70,3 / 90,2 / 17,3 / 36,2 / 13,3 / 13,2 / 3,3 / 3,8 / 2,5 / 3,53 / 70,54 / 90,43 / 53,35 / 54,12 / 17,14 / 36,1.67,277,55 / 70,49 / 90,47 / 60,44 / 82,70 / 13,90 / 13,15 / 13,41 / 13,1 / 1,5 / 10,1 / 13,10 / 13,1 / 3,10 / 3,13 / 13,8 / 13,0 / 3,5 / 3,19 / 54,10 / 53,22 / 36,5 / 17,48,41 / 90,15 / 70,38.0 / 82.0,13.0 / 60.0,90 / 13,70 / 13,41 / 13,15 / 13,5 / 10,0 / 1,10 / 13,1 / 13,10 / 3,1 / 3,5 / 13,0 / 13,5 / 3,0 / 3,160,64,96 / 160,64 / 160,90 / 70,70 / 90,26,8,18 / 26,8 / 26,0.47,0.00,0.00,37.9,3.88,33.7,1:41
Wimbledon 2016,27-06-2016,94.1%,Andy Murray,Milos Raonic,6-4 7-6(3) 7-6(2),7 / 103,8 / 114,2 / 103,1 / 114,69 / 103,73 / 114,60 / 69,49 / 73,19 / 34,29 / 41,2 / 2,6 / 7,79 / 103,78 / 114,24 / 73,9 / 69,12 / 41,15 / 34,1 / 7,0 / 2,36 / 114,24 / 103,0.74,115 / 217,102 / 217,2:48,8,7 / 103,8 / 114,7 / 17,8 / 17,7 / 3,8 / 3,1,2 / 103,1 / 114,2 / 34,1 / 41,2 / 17,1 / 17,2 / 3,1 / 3,7 / 2,8 / 1,69 / 103,73 / 114,60 / 69,49 / 73,19 / 34,29 / 41,0.95,388,79 / 103,78 / 114,72 / 94,70 / 105,103 / 17,114 / 17,24 / 17,36 / 17,2 / 2,6 / 7,2 / 17,7 / 17,2 / 3,7 / 3,17 / 17,16 / 17,0 / 3,1 / 3,24 / 73,9 / 69,12 / 41,15 / 34,57,36 / 114,24 / 103,35.0 / 105.0,22.0 / 94.0,114 / 17,103 / 17,36 / 17,24 / 17,1 / 7,0 / 2,7 / 17,2 / 17,7 / 3,2 / 3,1 / 17,0 / 17,1 / 3,0 / 3,217,102,115 / 217,102 / 217,114 / 103,103 / 114,34,16,18 / 34,16 / 34,0.74,0.00,0.00,46.5,4.94,56.0,2:48
Wimbledon 2015,29-06-2015,95.5%,Novak Djokovic,Roger Federer,7-6(1) 6-7(10) 6-4 6-3,13 / 145,14 / 141,1 / 145,3 / 141,95 / 145,94 / 141,70 / 95,70 / 94,30 / 50,23 / 47,6 / 7,6 / 10,100 / 145,93 / 141,24 / 94,25 / 95,24 / 47,20 / 50,4 / 10,1 / 7,48 / 141,45 / 145,0.91,148 / 286,138 / 286,2:56,14,13 / 145,14 / 141,13 / 21,14 / 22,13 / 4,14 / 4,3,1 / 145,3 / 141,1 / 50,3 / 47,1 / 21,3 / 22,1 / 4,3 / 4,13 / 1,14 / 3,95 / 145,94 / 141,70 / 95,70 / 94,30 / 50,23 / 47,1.52,340,100 / 145,93 / 141,87 / 131,79 / 124,145 / 21,141 / 22,45 / 21,48 / 22,6 / 7,6 / 10,7 / 21,10 / 22,7 / 4,10 / 4,20 / 21,18 / 22,1 / 4,4 / 4,24 / 94,25 / 95,24 / 47,20 / 50,85,48 / 141,45 / 145,45.0 / 124.0,44.0 / 131.0,141 / 22,145 / 21,48 / 22,45 / 21,4 / 10,1 / 7,10 / 22,7 / 21,10 / 4,7 / 4,4 / 22,1 / 21,4 / 4,1 / 4,286,138,148 / 286,138 / 286,141 / 145,145 / 141,43,19,24 / 43,19 / 43,0.91,0.26,0.36,36.9,4.09,44.0,2:56
Wimbledon 2014,23-06-2014,91.6%,Novak Djokovic,Roger Federer,6-7(7) 6-4 7-6(4) 5-7 6-4,13 / 174,29 / 192,3 / 174,5 / 192,108 / 174,133 / 192,79 / 108,102 / 133,43 / 66,26 / 59,4 / 7,11 / 15,122 / 174,128 / 192,31 / 133,29 / 108,33 / 59,23 / 66,4 / 15,3 / 7,64 / 192,52 / 174,0.90,186 / 366,180 / 366,3:56,29,13 / 174,29 / 192,13 / 28,29 / 28,13 / 5,29 / 5,5,3 / 174,5 / 192,3 / 66,5 / 59,3 / 28,5 / 28,3 / 5,5 / 5,13 / 3,29 / 5,108 / 174,133 / 192,79 / 108,102 / 133,43 / 66,26 / 59,1.74,362,122 / 174,128 / 192,109 / 158,99 / 158,174 / 28,192 / 28,52 / 28,64 / 28,4 / 7,11 / 15,7 / 28,15 / 28,7 / 5,15 / 5,25 / 28,24 / 28,3 / 5,4 / 5,31 / 133,29 / 108,33 / 59,23 / 66,115,64 / 192,52 / 174,59.0 / 158.0,49.0 / 158.0,192 / 28,174 / 28,64 / 28,52 / 28,4 / 15,3 / 7,15 / 28,7 / 28,15 / 5,7 / 5,4 / 28,3 / 28,4 / 5,3 / 5,366,180,186 / 366,180 / 366,192 / 174,174 / 192,56,27,29 / 56,27 / 56,0.90,0.75,1.61,38.7,4.21,47.2,3:56
Wimbledon 2013,24-06-2013,97.4%,Andy Murray,Novak Djokovic,6-4 7-5 6-4,9 / 105,4 / 105,2 / 105,4 / 105,67 / 105,68 / 105,48 / 67,40 / 68,16 / 38,15 / 37,9 / 13,10 / 17,64 / 105,55 / 105,28 / 68,19 / 67,22 / 37,22 / 38,7 / 17,4 / 13,50 / 105,41 / 105,0.82,114 / 210,96 / 210,3:09,4,9 / 105,4 / 105,9 / 16,4 / 16,9 / 3,4 / 3,4,2 / 105,4 / 105,2 / 38,4 / 37,2 / 16,4 / 16,2 / 3,4 / 3,9 / 2,4 / 4,67 / 105,68 / 105,48 / 67,40 / 68,16 / 38,15 / 37,1.45,279,64 / 105,55 / 105,55 / 94,51 / 97,105 / 16,105 / 16,41 / 16,50 / 16,9 / 13,10 / 17,13 / 16,17 / 16,13 / 3,17 / 3,12 / 16,9 / 16,4 / 3,7 / 3,28 / 68,19 / 67,22 / 37,22 / 38,142,50 / 105,41 / 105,46.0 / 97.0,39.0 / 94.0,105 / 16,105 / 16,50 / 16,41 / 16,7 / 17,4 / 13,17 / 16,13 / 16,17 / 3,13 / 3,7 / 16,4 / 16,7 / 3,4 / 3,210,96,114 / 210,96 / 210,105 / 105,105 / 105,32,13,19 / 32,13 / 32,0.82,0.57,0.75,54.0,5.91,63.0,3:09
Wimbledon 2012,25-06-2012,96.9%,Roger Federer,Andy Murray,4-6 7-5 6-3 6-4,12 / 131,16 / 157,3 / 131,1 / 157,90 / 131,88 / 157,68 / 90,61 / 88,20 / 41,33 / 69,5 / 7,8 / 12,88 / 131,94 / 157,27 / 88,22 / 90,36 / 69,21 / 41,4 / 12,2 / 7,63 / 157,43 / 131,0.82,151 / 288,137 / 288,3:24,16,12 / 131,16 / 157,12 / 21,16 / 20,12 / 4,16 / 4,1,3 / 131,1 / 157,3 / 41,1 / 69,3 / 21,1 / 20,3 / 4,1 / 4,12 / 3,16 / 1,90 / 131,88 / 157,68 / 90,61 / 88,20 / 41,33 / 69,1.45,329,88 / 131,94 / 157,76 / 116,78 / 140,131 / 21,157 / 20,43 / 21,63 / 20,5 / 7,8 / 12,7 / 21,12 / 20,7 / 4,12 / 4,19 / 21,16 / 20,2 / 4,4 / 4,27 / 88,22 / 90,36 / 69,21 / 41,114,63 / 157,43 / 131,62.0 / 140.0,40.0 / 116.0,157 / 20,131 / 21,63 / 20,43 / 21,4 / 12,2 / 7,12 / 20,7 / 21,12 / 4,7 / 4,4 / 20,2 / 21,4 / 4,2 / 4,288,137,151 / 288,137 / 288,157 / 131,131 / 157,41,18,23 / 41,18 / 41,0.82,0.48,0.86,42.5,4.98,51.0,3:24
Wimbledon 2011,20-06-2011,96.5%,Novak Djokovic,Rafael Nadal,6-4 6-1 1-6 6-3,7 / 95,5 / 82,1 / 95,1 / 82,69 / 95,64 / 82,50 / 69,43 / 64,14 / 26,8 / 18,3 / 6,1 / 6,64 / 95,51 / 82,21 / 64,19 / 69,10 / 18,12 / 26,5 / 6,3 / 6,31 / 82,31 / 95,0.86,95 / 177,82 / 177,2:28,5,7 / 95,5 / 82,7 / 17,5 / 16,7 / 4,5 / 4,1,1 / 95,1 / 82,1 / 26,1 / 18,1 / 17,1 / 16,1 / 4,1 / 4,7 / 1,5 / 1,69 / 95,64 / 82,50 / 69,43 / 64,14 / 26,8 / 18,1.51,280,64 / 95,51 / 82,57 / 87,46 / 76,95 / 17,82 / 16,31 / 17,31 / 16,3 / 6,1 / 6,6 / 17,6 / 16,6 / 4,6 / 4,14 / 17,11 / 16,3 / 4,5 / 4,21 / 64,19 / 69,10 / 18,12 / 26,141,31 / 82,31 / 95,30.0 / 76.0,30.0 / 87.0,82 / 16,95 / 17,31 / 16,31 / 17,5 / 6,3 / 6,6 / 16,6 / 17,6 / 4,6 / 4,5 / 16,3 / 17,5 / 4,3 / 4,177,82,95 / 177,82 / 177,82 / 95,95 / 82,33,14,19 / 33,14 / 33,0.86,0.56,0.60,50.2,4.48,37.0,2:28
Wimbledon 2010,21-06-2010,88.5%,Rafael Nadal,Tomas Berdych,6-3 7-5 6-4,5 / 90,13 / 81,3 / 90,0 / 81,62 / 90,48 / 81,48 / 62,35 / 48,18 / 28,19 / 33,4 / 4,2 / 6,66 / 90,54 / 81,13 / 48,14 / 62,14 / 33,10 / 28,4 / 6,0 / 4,27 / 81,24 / 90,0.80,93 / 171,78 / 171,2:13,13,5 / 90,13 / 81,5 / 15,13 / 16,5 / 3,13 / 3,0,3 / 90,0 / 81,3 / 28,0 / 33,3 / 15,0 / 16,3 / 3,0 / 3,5 / 3,13 / 0,62 / 90,48 / 81,48 / 62,35 / 48,18 / 28,19 / 33,1.27,314,66 / 90,54 / 81,61 / 82,41 / 68,90 / 15,81 / 16,24 / 15,27 / 16,4 / 4,2 / 6,4 / 15,6 / 16,4 / 3,6 / 3,15 / 15,12 / 16,0 / 3,4 / 3,13 / 48,14 / 62,14 / 33,10 / 28,58,27 / 81,24 / 90,27.0 / 68.0,21.0 / 82.0,81 / 16,90 / 15,27 / 16,24 / 15,4 / 6,0 / 4,6 / 16,4 / 15,6 / 3,4 / 3,4 / 16,0 / 15,4 / 3,0 / 3,171,78,93 / 171,78 / 171,81 / 90,90 / 81,31,12,19 / 31,12 / 31,0.80,0.00,0.00,46.7,4.29,44.3,2:13
Wimbledon 2009,22-06-2009,85.6%,Roger Federer,Andy Roddick,5-7 7-6(6) 7-6(5) 3-6 16-14,50 / 197,27 / 239,4 / 197,4 / 239,127 / 197,169 / 239,113 / 127,140 / 169,42 / 70,31 / 70,3 / 5,6 / 7,155 / 197,171 / 239,29 / 169,14 / 127,39 / 70,28 / 70,1 / 7,2 / 5,68 / 239,42 / 197,0.75,223 / 436,213 / 436,4:16,27,50 / 197,27 / 239,50 / 37,27 / 38,50 / 5,27 / 5,4,4 / 197,4 / 239,4 / 70,4 / 70,4 / 37,4 / 38,4 / 5,4 / 5,50 / 4,27 / 4,127 / 197,169 / 239,113 / 127,140 / 169,42 / 70,31 / 70,1.87,391,155 / 197,171 / 239,105 / 143,144 / 208,197 / 37,239 / 38,42 / 37,68 / 38,3 / 5,6 / 7,5 / 37,7 / 38,5 / 5,7 / 5,35 / 37,37 / 38,2 / 5,1 / 5,29 / 169,14 / 127,39 / 70,28 / 70,96,68 / 239,42 / 197,64.0 / 208.0,38.0 / 143.0,239 / 38,197 / 37,68 / 38,42 / 37,1 / 7,2 / 5,7 / 38,5 / 37,7 / 5,5 / 5,1 / 38,2 / 37,1 / 5,2 / 5,436,213,223 / 436,213 / 436,239 / 197,197 / 239,75,39,36 / 75,39 / 75,0.75,2.05,2.80,35.2,3.41,51.2,4:16
Wimbledon 2008,23-06-2008,91.6%,Rafael Nadal,Roger Federer,6-4 6-4 6-7(5) 6-7(8) 9-7,6 / 218,25 / 195,3 / 218,2 / 195,160 / 218,127 / 195,111 / 160,92 / 127,34 / 58,39 / 68,12 / 13,9 / 13,145 / 218,131 / 195,35 / 127,49 / 160,29 / 68,24 / 58,4 / 13,1 / 13,64 / 195,73 / 218,1.02,209 / 413,204 / 413,4:48,25,6 / 218,25 / 195,6 / 30,25 / 30,6 / 5,25 / 5,2,3 / 218,2 / 195,3 / 58,2 / 68,3 / 30,2 / 30,3 / 5,2 / 5,6 / 3,25 / 2,160 / 218,127 / 195,111 / 160,92 / 127,34 / 58,39 / 68,1.26,363,145 / 218,131 / 195,139 / 209,106 / 168,218 / 30,195 / 30,73 / 30,64 / 30,12 / 13,9 / 13,13 / 30,13 / 30,13 / 5,13 / 5,29 / 30,26 / 30,1 / 5,4 / 5,35 / 127,49 / 160,29 / 68,24 / 58,83,64 / 195,73 / 218,62.0 / 168.0,70.0 / 209.0,195 / 30,218 / 30,64 / 30,73 / 30,4 / 13,1 / 13,13 / 30,13 / 30,13 / 5,13 / 5,4 / 30,1 / 30,4 / 5,1 / 5,413,204,209 / 413,204 / 413,195 / 218,218 / 195,60,27,33 / 60,27 / 60,1.02,0.25,0.25,41.8,4.80,57.6,4:48
Wimbledon 2007,25-06-2007,92.7%,Roger Federer,Rafael Nadal,7-6(7) 4-6 7-6(3) 2-6 6-2,24 / 156,1 / 167,3 / 156,2 / 167,111 / 156,118 / 167,79 / 111,81 / 118,28 / 45,28 / 49,7 / 11,5 / 8,107 / 156,109 / 167,37 / 118,32 / 111,21 / 49,17 / 45,3 / 8,4 / 11,58 / 167,49 / 156,0.90,165 / 323,158 / 323,3:45,1,24 / 156,1 / 167,24 / 25,1 / 25,24 / 5,1 / 5,2,3 / 156,2 / 167,3 / 45,2 / 49,3 / 25,2 / 25,3 / 5,2 / 5,24 / 3,1 / 2,111 / 156,118 / 167,79 / 111,81 / 118,28 / 45,28 / 49,1.20,346,107 / 156,109 / 167,83 / 129,108 / 164,156 / 25,167 / 25,49 / 25,58 / 25,7 / 11,5 / 8,11 / 25,8 / 25,11 / 5,8 / 5,21 / 25,22 / 25,4 / 5,3 / 5,37 / 118,32 / 111,21 / 49,17 / 45,119,58 / 167,49 / 156,56.0 / 164.0,46.0 / 129.0,167 / 25,156 / 25,58 / 25,49 / 25,3 / 8,4 / 11,8 / 25,11 / 25,8 / 5,11 / 5,3 / 25,4 / 25,3 / 5,4 / 5,323,158,165 / 323,158 / 323,167 / 156,156 / 167,50,26,24 / 50,26 / 50,0.90,1.33,0.97,41.8,4.50,45.0,3:45
Wimbledon 2006,26-06-2006,92.5%,Roger Federer,Rafael Nadal,6-0 7-6(5) 6-7(2) 6-3,13 / 119,9 / 127,1 / 119,3 / 127,83 / 119,94 / 127,64 / 83,64 / 94,20 / 36,14 / 33,1 / 3,4 / 10,84 / 119,78 / 127,30 / 94,19 / 83,19 / 33,16 / 36,6 / 10,2 / 3,49 / 127,35 / 119,0.76,133 / 246,113 / 246,2:58,9,13 / 119,9 / 127,13 / 20,9 / 19,13 / 4,9 / 4,3,1 / 119,3 / 127,1 / 36,3 / 33,1 / 20,3 / 19,1 / 4,3 / 4,13 / 1,9 / 3,83 / 119,94 / 127,64 / 83,64 / 94,20 / 36,14 / 33,1.60,298,84 / 119,78 / 127,71 / 105,69 / 115,119 / 20,127 / 19,35 / 20,49 / 19,1 / 3,4 / 10,3 / 20,10 / 19,3 / 4,10 / 4,18 / 20,13 / 19,2 / 4,6 / 4,30 / 94,19 / 83,19 / 33,16 / 36,144,49 / 127,35 / 119,46.0 / 115.0,34.0 / 105.0,127 / 19,119 / 20,49 / 19,35 / 20,6 / 10,2 / 3,10 / 19,3 / 20,10 / 4,3 / 4,6 / 19,2 / 20,6 / 4,2 / 4,246,113,133 / 246,113 / 246,127 / 119,119 / 127,39,15,24 / 39,15 / 39,0.76,0.32,1.11,43.4,4.56,44.5,2:58
