Name,Full name,Country (sports),Born,Died,Height,Turned pro,Retired,Plays,Prize money,Int. Tennis HoF,Residence,Spouse(s),Children,Coach,College,Official website,Native name,Nationality,Batting,Cause of death,Listed height,Listed weight
Greg Rusedski,,"Great Britain (from 1995), Canada (1991–95)",1973-09-06,,1.93 m,1991,7 April 2007,Left-handed (one-handed backhand),"$8,944,841",,"London, England",,,,,,,,,,,
Robin Söderling,Robin Bo Carl Söderling,Sweden,1984-08-14,,1.93 m,2001,23 December 2015 (last match played in July 2011),Right-handed (two-handed backhand),"US$10,423,124",,"Monte Carlo, Monaco",,,,,,,,,,,
Harry Parker,,New Zealand,1973-05-06,"14 May 1961(1961-05-14) (aged 88)Balgowlah, Sydney, Australia",,1901 (amateur tour),1924,,,,,,,,,,,,,,,
Sven Davidson,,Sweden,1928-07-13,"28 May 2008(2008-05-28) (aged 79)Arcadia, California, United States",,,,Right-handed (one-handed backhand),,2007 (member page),,,,,,,,,,,,
Ken Rosewall,Kenneth Robert Rosewall,Australia,1934-11-02,,1.70 m,1956(amateur since 1950),1980,"Right-handed (one-handed backhand), born left-handed","US$ 1,602,700",1980 (member page),"Sydney, New South Wales, Australia",,,,,,,,,,,
William J. Clothier,William Jackson Clothier,United States,1881-09-27,"September 4, 1962(1962-09-04) (aged 80)Philadelphia, United States",,,,Right-handed (one-handed backhand),,1956 (member page),,,,,,,,,,,,
Juan Carlos Ferrero,Juan Carlos Ferrero Donat,Spain,1980-02-12,,1.83 m,1998 (amateur tour from 1997),"2012 singles,  2017 doubles",Right-handed (two-handed backhand),"$13,992,895.00",,,,,,,,juancarlosferrero.com,,,,,
John Newcombe,John David Newcombe,Australia,1944-05-23,,1.83 m,1967 (amateur from 1960),1981,Right-handed (one-handed backhand),"$1,062,408",1986 (member page),"Sydney, New South Wales, Australia",,,,,,,,,,,
Joshua Pim,Joshua Francis Pim,United Kingdom of Great Britain and Ireland,1869-05-20,"15 April 1942(1942-04-15) (aged 72)Killiney, Dublin, Ireland",,1887 (amateur tour),1902,Right-handed (one-handed backhand),,,,,,,,,,,,,,
Arnaud Clément,,France,1977-12-17,,1.72 m,1996,5 July 2012,Right-handed (two-handed backhand),"$7,125,228",,"Geneva, Switzerland",,,,,,,,,,,
John Marks,John M.P. Marks,Australia,1952-12-09,,,1975,1980,Right-handed (one-handed backhand),,,,,,,,,,,,,,
Tony Trabert,Marion Anthony Trabert,United States,1930-08-16,"February 3, 2021(2021-02-03) (aged 90)Ponte Vedra Beach, Florida, United States",1.85 m,1955 (amateur from 1945),1963,Right-handed (one-handed backhand),,1970 (member page),,,,,,,,,,,,
David Nalbandian,David Pablo Nalbandian,Argentina,1982-01-01,,1.80 m,2000,1 October 2013,Right-handed (two-handed backhand),"US$11,114,755",,"Unquillo, Argentina",,,,,davidnalbandian.com,,,,,,
Richard Krajicek,,Netherlands,1971-12-06,,1.96 m,1989,2003,Right-handed (one-handed backhand),"$10,077,425",,"Muiderberg, Netherlands",,,,,,,,,,,
Tomáš Berdych,,Czech Republic,1985-09-17,,1.96 m,2002 (amateur tour from 2001),2019,Right-handed (two-handed backhand),"US$ 29,491,328 
 9th all-time leader in earnings",,"Monte Carlo, Monaco",,,Tomáš Krupa (2009–2014)Daniel Vallverdu (2014–2016)Azuz Simcich (2014–2019)Goran Ivanišević (2016–2017)Martin Štěpánek (2018–2019),,tomasberdych.cz,,,,,,
Vivian McGrath,Vivian Erzerum Bede McGrath,Australia,1916-02-17,"9 April 1978(1978-04-09) (aged 62)Burradoo, NSW, Australia",,Slam debut in 1932,1950s,Right-handed (two-handed both sides),,,,,,,,,,,,,,
Richard Schlesinger,Richard Emil Schlesinger,Australia,1900-09-23,20 January 1968(1968-01-20) (aged 67),,1923 (amateur tour),1933,Right-handed (one-handed backhand),,,,,,,,,,,,,,
Johan Kriek,,"South Africa , United States (1982-)",1958-04-05,,1.75 m,1978,1994,Right-handed (one-handed backhand),"$2,383,794",,"Roanoke, Virginia, U.S.",,,,,,,,,,,
Manuel Orantes,,Spain,1949-02-06,,1.78 m,1968 (amateur from 1964),1983,Left-handed (one-handed backhand),"$1,398,303",2012 (member page),"Barcelona, Spain",,,,,,,,,,,
Adriano Panatta,,Italy,1950-07-09,,1.83 m,1969 (amateur from 1968),1983,Right-handed (one-handed backhand),"$776,187",,"Treviso, Italy",,,,,,,,,,,
Wilberforce Eaves,Wilberforce Vaughan Eaves,Great Britain,1867-12-10,"10 February 1920(1920-02-10) (aged 52)London, England",,,,Right-handed (one-handed backhand),,,,,,,,,,,,,,
Milos Raonic,,Canada,1990-12-27,,1.96 m,2008,,Right-handed (two-handed backhand),"US$ 20,167,052[4]
 22nd all-time leader in earnings",,"Monte Carlo, Monaco",,,Goran Ivanišević (2018–2019)Fabrice Santoro  (2019)[3]Mario Tudor (2019–),,,,,,,,
Reggie Doherty,Reginald Frank Doherty,United Kingdom,1872-10-14,"29 December 1910(1910-12-29) (aged 38)Kensington, England",1.85 m,,,Right-handed (one-handed backhand),,1980 (member page),,,,,,,,,,,,
Boris Becker,Boris Franz Becker,West Germany (1984–1990) Germany (1990–1999),1967-11-22,,1.91 m,1984 (amateur tour from 1983),25 June 1999,Right-handed (one-handed backhand),"US$ 25,080,956
 13th all-time leader in earnings",2003 (member page),"London, England",,,Ion ȚiriacGünther BoschBob BrettMike Depalmer Jr.Günter BresnikNick Bollettieri,,https://www.krugercowne.com/boris-becker/,,,,,,
Jan Kodeš,,Czechoslovakia,1946-03-01,,1.75 m,1968 (amateur from 1966),1983,Right-handed (one-handed backhand),"$693,197",1990 (member page),"Prague, Czech Republic",,,,,,,,,,,
Spencer Gore,Spencer William Gore ,United Kingdom of Great Britain and Ireland,1850-03-10,"19 April 1906(1906-04-19) (aged 56) Ramsgate, England",,,,,,,,,,,,,,,,,,
Marcel Bernard,,France,1914-05-18,"29 April 1994(1994-04-29) (aged 79)Paris, France",,1930 (amateur tour),1956,Left-handed (one-handed backhand),,,,,,,,,,,,,,
William McNeill,William Donald McNeill ,United States,1918-04-30,"November 28, 1996(1996-11-28) (aged 78)Vero Beach, USA",1.78m,,,Right-handed (one-handed backhand),,,,,,,,,,,,,,
Thomas Muster,,Austria,1967-10-02,,1.80 m,1985 (Comeback in 2010),1999 (2011),Left-handed (one-handed backhand),"$12,266,977",,"Leibnitz, Austria (1984–1994, 2010–2011)Monte Carlo, Monaco (1994–1997)Noosa Heads, Australia (1996–1999)",,,Ronnie Leitgeb (1984–1999)Ronald Schmidt (2010–2011),,,,,,,,
Andy Roddick,Andrew Stephen Roddick,United States,1982-08-30,,1.88 m,2000,"Singles: 2012 , Doubles: 2015",Right-handed (two-handed backhand),"US$20,640,030
 20th all-time leader in earnings",2017 (member page),"Austin, Texas, U.S.",Brooklyn Decker ​(m. 2009)​,2,Tarik Benhabiles (1999–2003)Brad Gilbert (2003–2004)Dean Goldfine (2004–2006)Jimmy Connors (2006–2008)John RoddickLarry Stefanki (2008–2012),,,,,,,,
Eric W. Sturgess,,South Africa,1920-05-10,"14 January 2004(2004-01-14) (aged 83)Sunninghill, South Africa",,,,Right-handed (one-handed backhand),,,,,,,,,,,,,,
William Tilden,William Tatem Tilden II ,United States,1893-02-10,"June 5, 1953(1953-06-05) (aged 60)Los Angeles, California, U.S.",,,,,,,,,,,,,,,,,,
Manuel Santana,Manuel Martínez Santana,Spain,1938-05-10,,,1968 (amateur tour from 1956),1977,Right-handed (one-handed backhand),,1984 (member page),"Marbella, Spain",,,,,,,,,,,
Frederick Schroeder,Frederick Rudolph Schroeder,United States,1921-07-20,"May 26, 2006(2006-05-26) (aged 84)La Jolla, California, U.S.",,,,Right-handed (one-handed backhand),,1966 (member page),,,,,,,,,,,,
James Anderson,James Outram Anderson,Australia,1894-09-17,"22 December 1973(1973-12-22) (aged 79) Gosford, Australia",,1926,,Right-handed (one-handed backhand),,,,,,,,,,,,,,
John Hawkes,John Bailey Hawkes,Australia,1899-06-07,"31 March 1990(1990-03-31) (aged 90)Geelong, Australia",,1921 (amateur tour),1932,,,,,,,,,,,,,,,
Mark Edmondson,,Australia,1954-06-24,,1.85 m,,,Right-handed (one-handed backhand),,,,,,,,,,,,,,
Alf Hedeman,Alfred Hedeman,Australia,1880,,,,,,,,,,,,,,,,,,,
Stan Wawrinka,Stanislas Wawrinka,Switzerland,1985-03-28,,1.83 m,2002,,Right-handed (one-handed backhand),"US$ 34,764,701
 6th all-time leader in earnings",,"Founex, Switzerland",,,Dimitri Zavialoff (2002–2010)Peter Lundgren (2010–2012)Magnus Norman (2013–2017)Richard Krajicek (2016)Paul Annacone (2017)Magnus Norman (2018–2020)Daniel Vallverdú (2019–),,stanwawrinka.com,,,,,,
Wilfred Baddeley,,United Kingdom of Great Britain and Ireland,1872-01-11,"24 January 1929(1929-01-24) (aged 57)Menton, France",,1887 (amateur tour),1903,Right-handed (one-handed backhand),,2013 (member page),,,,,,,,,,,,
Clarence Hobart,,United States,1870-06-27,"August 2, 1930(1930-08-02) (aged 60)Asheville, North Carolina, U.S.",,1888 (amateur tour),1919,Right-handed (one-handed backhand),,,,,,,,,,,,,,
Clarence M. Clark,,United States,1859-08-27,"June 29, 1937(1937-06-29) (aged 77)Germantown, PA, U.S.",,1881 (amateur tour),1885,,,1983 (member page),,,,,,,,,,,,
John Bromwich,John Edward Bromwich,Australia,1918-11-14,"21 October 1999(1999-10-21) (aged 80)Geelong, Victoria, Australia",1.78 m,1934 (amateur tour),1954,"Left-handed (two-handed backhand, right-handed serve)",,1984 (member page),,,,,,,,,,,,
R. Savitt,,United States,1927-03-04,,1.91 m,1944 (amateur tour),1952 (played part-time afterwards),Right-handed (one-handed backhand),,1976 (member page),,,,,Cornell University (57–2 record in singles),,,,,,,
Thomas Johansson,,Sweden,1975-03-24,,1.80 m,1994,12 June 2009,Right-handed (two-handed backhand),"$7,168,029",,"Monte Carlo, Monaco",,,,,,,,,,,
Todd Martin,,United States,1970-07-08,,1.98 m,1990,2004,Right-handed (two-handed backhand),"$8,232,355",,Rhode Island,,,,,,,,,,,
István Gulyás,,Hungary,1931-10-13,"31 July 2000(2000-07-31) (aged 68)Budapest, Hungary",,1968 (amateur from 1954),1973,Right-handed (one-handed backhand),,,,,,,,,,,,,,
James Dwight,,United States,,"July 13, 1917(1917-07-13) (aged 64)Mattapoisett, MA, U.S.",,1876 (amateur tour),1913,Right-handed (one-handed backhand),,1955 (member page),,,,,,,,,,,,
Rainer Schüttler,,Germany,1976-04-25,,1.80 m,1995,11 October 2012,Right-handed (two-handed backhand),"$7,407,508",,"Altstätten, Switzerland",,,,,,,,,,,
John Crawford,John Herbert Crawford,Australia,1908-03-22,"10 September 1991(1991-09-10) (aged 83)Sydney, Australia",1.85 m,1926 (amateur tour),1951,Right-handed (one-handed backhand),,,,,,,,,,,,,,
Miloslav Mečíř,,Czechoslovakia,1964-05-19,,1.90 m,1982,1990,Right-handed (two-handed backhand),"$2,632,538",,"Bratislava, Slovakia",,,,,,,,,,,
Holcombe Ward,,United States,1878-11-23,"January 23, 1967(1967-01-23) (aged 88)Red Bank, NJ, United States",,1895 (amateur tour),1905 (brief comeback in 1917),Right-handed (one-handed backhand),,1956 (member page),,,,,,,,,,,,
Harold Mahony,Harold Segerson Mahony,United Kingdom,1867-02-13,"27 June 1905(1905-06-27) (aged 38)County Kerry, Ireland",1.91 m,1890 (amateur tour),1905 (death),,,,,,,,,,,,,,,
Nikola Pilić,,Yugoslavia,1939-08-27,,1.91 m,1968 (amateur tour from 1960),1978,Left-handed (one-handed backhand),,,"Munich, Germany",,,,,,,,,,,
Sidney B. Wood,Sidney Burr Beardslee Wood Jr.,United States,1911-11-01,"January 10, 2009(2009-01-10) (aged 97)Palm Beach, Florida, U.S.",,1927 (amateur tour),1956,Right-handed (one-handed backhand),,1964 (member page),,,,,,,,,,,,
Jack Crawford,,,,,,,,,,,,,,,,,,,,,,
Daniil Medvedev,Daniil Sergeyevich Medvedev,Russia,1996-02-11,,1.98 m,2014,,Right-handed (two handed-backhand),"US$ $15,878,223",,"Monte Carlo, Monaco",,,Gilles Cervara,,,,,,,,
Rodney Heath,Rodney Wilfred Heath,Australia,,"26 October 1936(1936-10-26) (aged 52)Melbourne, Australia",,,,Right-handed (one-handed backhand),,,,,,,,,,,,,,
Stan Smith,Stanley Roger Smith,United States,1946-12-14,,1.93 m,1969 (amateur tour from 1964),1985,Right-handed (one-handed backhand),"$1,774,811",1987 (member page),"Hilton Head Island, South Carolina",,,,,,,,,,,
Dominic Thiem,,Austria,1993-09-03,,1.85 m,2011,,Right-handed (one-handed backhand),"US$ 28,567,121 
 10th all-time in earnings",,"Lichtenwörth, Austria",,,Günter Bresnik (2002–2019)Nicolás Massú (2019–),,dominicthiem.at,,,,,,
Alex Olmedo,,Peru United States,1936-03-24,"December 9, 2020(2020-12-09) (aged 84)Los Angeles, California, US",1.78 m,1960,1977,Right-handed (one-handed backhand),,1987 (member page),,,,,,,,,,,,
Jim Willard,,Australia,1893-04-22,10 June 1968(1968-06-10) (aged 75),1.68 m,,,Right-handed (one-handed backhand),,,,,,,,,,,,,,
Ilie Năstase,,Romania,1946-07-19,,1.82 m,1969 (amateur tour from 1966),1985,Right-handed (one-handed backhand),"$2,076,761",1991 (member page),Constanța,,,,,,,,,,,
Tony Roche,Anthony Dalton Roche,Australia,1945-05-17,,1.77 m,1968 (amateur from 1963),1979,Left-handed (one-handed backhand),"US$ 529,199",1986 (member page),"Turramurra, New South Wales, Australia",,,,,,,,,,,
Željko Franulović,,Yugoslavia,1947-06-13,,,1969 (amateur tour from 1965),1980,Right-handed (one-handed backhand),,,"Split, Croatia",,,,,,,,,,,
Christian Boussus,Jacques Christian Boussus,France,1908-03-05,"12 August 2003(2003-07-12) (aged 95)[1]Neuilly-sur-Seine, France",,1926 (amateur tour),1953,Left-handed (one-handed backhand),,,,,,,,,,,,,,
John McEnroe,,United States,1959-02-16,,1.80 m,1978 (debut 1976 Amateur),1994 (singles)2006 (doubles),Left-handed (one-handed backhand),"US$12,552,132",1999 (member page),"New York City, New York, United States",,,Antonio Palafox,Stanford University,,,,,,,
Juan Gisbert,,Spain,1942-04-05,,,1968 (amateur tour from 1962),1976,Right-handed (one-handed backhand),,,"Barcelona, Spain",,,,,,,,,,,
Henry Austin,"Henry Wilfred ""Bunny"" Austin ",Great Britain,1906-08-26,"26 August 2000(2000-08-26) (aged 94)Coulsdon, London, England",1.76m,1926 (amateur tour),1939,Right-handed (one-handed backhand),,,,,,,,,,,,,,
Mal Anderson,Malcolm James Anderson,Australia,1935-03-03,,,1958 (amateur tour from 1952),1977,Right-handed (one-handed backhand),,2000 (member page),,,,,,,,,,,,
Gar Moon,Edgar Forest Moon,Australia,1904-12-03,"26 May 1976(1976-05-26) (aged 71)Greenslopes, Brisbane, Australia [1]",,1925 (amateur tour),1940,Right-handed (one-handed backhand),,,,,,,,,,,,,,
Nathaniel W. Niles,Nathaniel William Niles,United States,1886-07-05,"July 11, 1932(1932-07-11) (aged 46)Brookline, Massachusetts",,1904 (amateur tour),1921,,,,,,,,,,,,,,,
Alex Metreveli,Alexander Irakliyevich Metreveli ,Soviet Union,1944-11-02,,,1962,1979,Right-handed (one-handed backhand),,,"Tbilisi, Georgia",,,,,,,,,,,
Herbert Lawford,Herbert Fortescue Lawford,United Kingdom of Great Britain and Ireland,1851-05-15,"20 April 1925(1925-04-20) (aged 73)Dess, Aberdeenshire, Scotland",1.80 m,1878 (amateur tour),1890,Right-handed (one-handed backhand),,2006 (member page),,,,,,,,,,,,
Thomas Enqvist,,Sweden,1974-03-13,,1.90 m,1991,2005,Right-handed (two-handed backhand),"$10,461,641",,"Monte Carlo, Monaco",,,,,,,,,,,
Mervyn Rose,Mervyn Gordon Rose,Australia,1930-01-23,"24 July 2017(2017-07-24) (aged 87)Coffs Harbour, NSW, Australia",,1959 (amateur tour from 1949),1972,Left-handed (one-handed backhand),,2001 (member page),,,,,,,,,,,,
Pat Cash,,Australia,1965-05-27,,183 cm,1982,1997,Right-handed (one-handed backhand),"$1,950,345",,"London, England",,,,,,,,,,,
Sergi Bruguera,Sergi Bruguera i Torner,Spain,1971-01-16,,1.88 m,1988,2002,Right-handed (two-handed backhand),"$11,632,199",,"Barcelona, Spain",,,,,,,,,,,
Rafael Osuna,,Mexico,1938-09-15,"4 June 1969(1969-06-04) (aged 30)near Monterrey, Mexico",,1958 (amateur tour),"June 4, 1969 (due to death)",Right-handed (one-handed backhand),,1979 (member page),"Mexico City, Mexico",,,,,,,,,,,
J.E. Patty,John Edward Patty,United States,1924-02-11,,,1940 (amateur tour),1960,Right-handed (one-handed backhand),,1977 (member page),,,,,,,,,,,,
Alfred Dunlop,Alfred Wallace Dunlop,Australia,1875-01-12,"7 April 1933(1933-04-07) (aged 58)Melbourne, Australia",,1897 (amateur tour),1914,Right-handed (one-handed backhand),,,,,,,,,,,,,,
