Name,Full name,Country (sports),Born,Died,Height,Turned pro,Retired,Plays,Prize money,Int. Tennis HoF,Residence,Spouse(s),Children,Coach,College,Official website,Native name,Nationality,Batting,Cause of death,Listed height,Listed weight,Sex,Nickname(s),National team,Weight,ITF name,Bowling
"""Kurt Nielsen""",,"""Denmark""","""1930-11-19""","""11 June 2011(2011-06-11) (aged 80)""",,"""1960 (amateur tour from 1948)""",1966,"""Right-handed (one-handed backhand)""",,,,,,"""Don Tregonning (1955)""",,,,,,,,,M,,,,,
"""Frank Sedgman""","""Francis Arthur Sedgman""","""Australia""","""1927-10-29""",,"""180 cm""","""1953 (amateur tour from 1945)""",1976,"""Right-handed (one-handed backhand)""",,"""1979 (member page)""",,,,,,,,,,,,,M,,,,,
"""Malcolm D. Whitman""","""Malcolm Douglass Whitman""","""United States""","""1877-03-15""","""December 28, 1932(1932-12-28) (aged 55)New York, NY, United States""","""1.87 m""","""1896 (amateur tour)""",1917,"""Right-handed (one-handed backhand)""",,"""1955 (member page)""",,,,,,,,,,,,,M,,,,,
"""John Hartley""",,"""United Kingdom of Great Britain and Ireland""","""1849-01-09""","""August 21, 1935(1935-08-21) (aged 86) Knaresborough, England""",,,,"""Right-handed (one-handed backhand)""",,,,,,,,,,,,,,,M,,,,,
"""M.J.G. Ritchie""","""Major Josiah George Ritchie""","""United Kingdom""","""1870-10-18""","""28 February 1955(1955-02-28) (aged 84)Ashford, Middlesex, England""",,,,"""Right-handed (one-handed backhand)""",,,,,,,,,,,,,,,M,,,,,
"""Bill Bowrey""","""William Walter Bowrey""","""Australia""","""1943-12-25""",,,"""1968 (amateur tour from 1962)""",1975,"""Right-handed (1-handed backhand)""",,,"""Victoria, Australia""",,,,,,,,,,,,M,,,,,
"""Chuck McKinley""","""Charles Robert McKinley Jr.""","""United States""","""1941-01-05""","""August 11, 1986(1986-08-11) (aged 45)Dallas, Texas, U.S.""","""1.73 m""","""1956 (amateur tour)""",1969,"""Right-handed (one-handed backhand)""",,"""1986 (member page)""",,,,,,,,,,,,,M,,,,,
"""Rafael Nadal""","""Rafael Nadal Parera""","""Spain""","""1986-06-03""",,"""1.85 m""",2001,,"""Left-handed (two-handed backhand), born right-handed""","US$123,843,596
 3rd all-time leader in earnings",,"""Manacor, Mallorca, Spain""",,,"""Toni Nadal (2005–2017)Francisco Roig (2005–)Carlos Moyá (2016–)""",,"""rafaelnadal.com""",,,,,,,M,,,,,
"""Robert Riggs""","""Robert Larimore Riggs""","""United States""","""1918-02-25""","""October 25, 1995(1995-10-25) (aged 77)Leucadia, Encinitas, California, U.S.""","""1.70m""","""1941(amateur tour 1933)""","""1959""","""Right-handed (one-handed backhand)""",,,,,,,,,,,,,,,M,,,,,
"""Andre Agassi""","""Andre Kirk Agassi""","""United States""","""1970-04-29""",,"""180 cm""",1986,2006,"""Right-handed (two-handed backhand)""","US$31,152,975 
 8th all-time leader in earnings","""2011 (member page)""","""Las Vegas, Nevada, U.S.""",,,"""Emmanuel Agassi (1970–83)Nick Bollettieri (1983–93)[1]Brad Gilbert (1994–2002)Darren Cahill (2002–2006)""",,,,,,,,,M,,,,,
"""Rhys Gemmell""",,"""Australia""","""1896-03-04""","""10 May 1972(1972-05-10) (aged 76)""",,,,,,,,,,,,,,,,,,,M,,,,,
"""Cliff Drysdale""","""Eric Clifford Drysdale""","""South Africa""","""1941-05-26""",,"""1.89 m""","""1968 (amateur from 1962)""",1980,"""Right-handed (two-handed backhand)""",,"""2013 (member page)""","""Austin, Texas, United States""",,,,,"""www.cliffdrysdale.com""",,,,,,,M,,,,,
"""Víctor Pecci""",,"""Paraguay""","""1955-10-15""",,"""1.93 m""",1976,1990,"""Right-handed (one-handed backhand)""","""$994,408""",,"""Asunción, Paraguay""",,,,,,,,,,,,M,,,,,
"""Wilmer Allison""","""Wilmer Lawson Allison Jr.""","""United States""","""1904-12-08""","""April 20, 1977(1977-04-20) (aged 72)Austin, TX, US""","""1.80 m""","""1927 (amateur tour)""",1941,"""Right-handed (1-handed backhand)""",,"""1963 (member page)""",,,,,,,,,,,,,M,,,,,
"""Nicola Pietrangeli""",,"""Italy""","""1933-09-11""",,"""1.78 m""","""1968 (amateur tour from 1953)""",1973,"""Right-handed (one-handed backhand)""",,"""1986 (member page)""","""Rome, Italy""",,,,,,,,,,,,M,,,,,
"""Alberto Berasategui""","""Alberto Berasategui Salazar""","""Spain""","""1973-06-28""",,"""1.72 m""",1991,"""May 2001""","""Right-handed (one and two-handed backhand)""","""$4,676,187""",,"""Bellaterra, Spain""",,,,,,,,,,,,M,,,,,
"""Lleyton Hewitt""","""Lleyton Glynn Hewitt""","""Australia""","""1981-02-24""",,"""178 cm""",1998,"""2016 (singles)""","""Right-handed (two-handed backhand)""","US$ 20,889,965
 19th all-time leader in earnings",,"""Toorak, Victoria, Australia""","""Bec Cartwright ​(m. 2005)​""",3.0,"""Peter Smith (1997–1998)Darren Cahill (1998–2001)Jason Stoltenberg (2001–2003)Roger Rasheed (2003–2007)Scott Draper (2007)Tony Roche (2007–2009)Nathan Healey (2009–2010)Brett Smith (2010)Tony Roche (2010–2016)Peter Luczak (2013–2016)Jaymon Crabb""",,,,,,,,,M,,,,,
"""Alexander Zverev""",,"""Germany""","""1997-04-20""",,"""1.98 m""",2013,,"""Right-handed (two-handed backhand)""","US$ 23,961,269
 15th all-time in earnings",,"""Monte Carlo, Monaco""",,,"""Mischa Zverev""",,,,,,,,,M,,,,,
"""Marcelo Ríos""",,"""Chile""","""1975-12-26""",,"""1.75 m""",1994,2004,"""Left-handed (two-handed backhand)""","""$9,713,771""",,"""Santiago, Chile""",,,,,,,,,,,,M,,,,,
"""Cédric Pioline""",,"""France""","""1969-06-15""",,"""1.87 m""",1989,2002,"""Right-handed (one-handed backhand)""","""$6,921,029""",,"""Geneva, Switzerland""",,,,,,,,,,,,M,,,,,
"""Fred Alexander""","""Frederick Beasley Alexander""","""United States""","""1880-08-14""","""March 3, 1969(1969-03-03) (aged 88)Beverly Hills, CA, U.S.""",,"""1899 (amateur tour)""",1920,"""Right-handed (one-handed backhand)""",,"""1961 (member page)""",,,,,"""Princeton University""",,,,,,,,M,,,,,
"""Quincy Shaw""",,"""United States""","""1869-07-30""","""May 8, 1960(1960-05-08) (aged 90)Boston, Massachusetts, U.S.""",,"""1884 (amateur tour)""",1894,"""Left-handed (one-handed backhand)""",,,,,,,,,,,,,,,M,,,,,
"""József Asbóth""",,"""Hungary""","""1917-09-18""","""22 September 1986(1986-09-22) (aged 69)München, West Germany""",,"""1939 (amateur tour)""",1957,"""Right-handed (one-handed backhand)""",,,,,,,,,,,,,,,M,,,,,
"""Henner Henkel""","""Heinrich Ernst Otto Henkel""","""Germany""","""1915-10-09""","""13 January 1943(1943-01-13) (aged 27)near Voronezh, Russian SFSR, Soviet Union""",,"""1934 (amateur tour)""","""1943 (due to death)""","""Right-handed (one-handed backhand)""",,,,,,,,,,,,"""Died of wounds""",,,M,,,,,
"""Clark Graebner""",,"""United States""","""1943-11-04""",,"""1.88 m""","""1968 (amateur from 1960)""",1976,"""Right-handed (one-handed backhand)""",,,"""New York City""",,,,,,,,,,,,M,,,,,
"""Manliff Goodbody""","""Manliffe Francis Goodbody""","""United Kingdom""",,"""24 March 1916(1916-03-24) (aged 47)SS Sussex, English Channel""",,,,"""Right-handed (one-handed backhand)""",,,,,,,,,,,,,,,M,,,,,
"""Arthur Gore""","""Arthur William Charles Wentworth Gore""","""United Kingdom""","""1969-01-02""","""1 December 1928(1928-12-01) (aged 60)Kensington, England""",,"""1888 (amateur tour)""",1922,"""Right-handed (one-handed backhand)""",,,,,,,,,,,,,,,M,,,,,
"""Ron Thomas""",,,"""1950-11-19""","""July 14, 2018(2018-07-14) (aged 67)""",,,,,,,,,,,,,,"""American""",,,"""6 ft 6 in (1.98 m)""","""215 lb (98 kg)""",M,,,,,
"""Sidney Smith""","""Sydney Howard Smith""","""United Kingdom""","""1872-02-03""","""27 March 1947(1947-03-27) (aged 75)Stroud, Gloucestershire, UK""",,"""1891 (amateur tour)""",1906,"""Right-handed (one-handed backhand)""",,,,,,,,,,,,,,,M,,,,,
"""John Lloyd""",,"""United Kingdom""","""1954-08-27""",,"""1.80m""",,,,,,,,,,,,,,,,,,M,,,,,
"""Wilhelm Bungert""","""Wilhelm Paul Bungert""","""West Germany""","""1939-04-01""",,"""1.88 m""","""1957 (amateur tour)""",1972,"""Right-handed (one-handed backhand)""",,,"""Düsseldorf, Germany""",,,,,,,,,,,,M,,,,,
"""Novak Djokovic""",,"""Serbia""","""1987-05-22""",,"""1.88 m""",2003,,"""Right-handed (two-handed backhand)""","US$ 147,744,252
 All-time leader in earnings",,"""Monte Carlo, Monaco""",,,"""Marián VajdaGoran Ivanišević""",,"""novakdjokovic.com""","""Новак ЂоковићNovak Đoković""",,,,,,M,,,,,
"""Ernest Renshaw""","""Ernest James Renshaw""","""United Kingdom""","""1861-01-03""","""2 September 1899(1899-09-02) (aged 38)Waltham St. Lawrence, Berkshire, England""","""1.78 m""","""1879 (amateur tour)""",1897,"""Right-handed (one-handed backhand)""",,"""1983 (member page)""",,,,,,,,,,,,,M,,,,,
"""John H. Doeg""",,"""United States""","""1908-12-07""","""April 27, 1978(1978-04-27) (aged 69)Redding, CA, United States""","""1.85 m""","""1927 (amateur tour)""",1940,"""Left-handed (one-handed backhand)""",,"""1962 (member page)""",,,,,,,,,,,,,M,,,,,
"""Ivan Lendl""",,"""Czechoslovakia (1978–1992)  United States (1992–)""","""1960-03-07""",,"""1.88 m""",1978,1994,"""Right-handed (one-handed backhand)""","US$21,262,417
18th all-time leader in earnings","""2001 (member page)""","""Goshen, Connecticut, USVero Beach, Florida, US""",,,,,,,,,,,,M,,,,,
"""Budge Patty""","""John Edward Patty""","""United States""","""1924-02-11""",,,"""1940 (amateur tour)""",1960,"""Right-handed (1-handed backhand)""",,"""1977 (member page)""",,,,,,,,,,,,,M,,,,,
"""Pierre Darmon""",,"""France""","""1934-01-14""",,,"""1950 (amateur tour)""",1968,"""Right-handed (one-handed backhand)""",,,,,,,,,,,,,,,M,,,,,
"""J. Parmly Paret""",,"""United States""","""1870-10-03""","""November 24, 1952(1952-11-24) (aged 82)Pasadena, Los Angeles, USA""",,"""1889 (amateur tour)""",1903,,,,,,,,,,,,,,,,M,,,,,
"""Neale Fraser""","""Neale Andrew Fraser""","""Australia""","""1933-10-03""",,"""1.85 m""",,1977,"""Left-handed (one-handed backhand)""",,"""1984 (member page)""","""Australia""",,,,,,,,,,,,M,,,,,
"""Beals C. Wright""","""Beals Coleman Wright""","""United States""","""1879-12-19""","""August 23, 1961(1961-08-23) (aged 81)Alton, Illinois, United States""",,,,"""Left-handed (one-handed backhand)""",,"""1956 (member page)""",,,,,,,,,,,,,M,,,,,
"""Yevgeny Kafelnikov""","""Yevgeny Aleksandrovich Kafelnikov""","""Russia""","""1974-02-18""",,"""1.90 m""",1992,"""2010 (last match 2003)""","""Right-handed (two-handed backhand)""","$ 23,883,797
 15th all-time leader in earnings","""2019 (member page)""","""Sochi, Russia""",,,,,,,,,,,,M,,,,,
"""Marcos Baghdatis""",,"""Cyprus""","""1985-06-17""",,"""1.78 m""",2003,2019,"""Right-handed (two-handed backhand)""","""$8,918,917""",,"""Limassol, Cyprus""",,,"""Pablo Perez  Juan Francisco Spina""",,,,,,,,,M,,,,,
"""Elwood Cooke""","""Elwood Thomas Cooke""","""United States""","""1913-07-05""","""April 16, 2004(2004-04-16) (aged 90)Apopka, Florida, U.S.""",,"""1947 (amateur tour from 1935)""",1949,"""Right-handed (one-handed backhand)""",,,,,,,,,,,,,,,M,,,,,
"""William Renshaw""","""William Charles Renshaw""","""United Kingdom""","""1861-01-03""","""12 August 1904(1904-08-12) (aged 43)Swanage, Dorset, England""","""1.77 m""",,,"""Right-handed (one-handed backhand)""",,"""1983 (member page)""",,,,,,,,,,,,,M,,,,,
"""Mariano Puerta""",,"""Argentina""","""1978-09-19""",,"""1.80 m""",1998,2009,"""Left-handed (one-handed backhand)""","""US$1,695,028""",,"""Buenos Aires, Argentina""",,,,,,,,,,,,M,,,,,
"""Oliver S. Campbell""","""Oliver Edward Michael Campbell""","""United States""","""1871-02-25""","""July 11, 1953(1953-07-11) (aged 82)Campbellton, New Brunswick, Canada""",,"""1886 (amateur tour)""",1892,,,"""1955 (member page)""",,,,,,,,,,,,,M,,,,,
"""Dwight F. Davis""",,"""United States""","""1879-07-05""","""November 28, 1945(1945-11-28)  (aged 66)Washington, D.C., U.S.""",,,,,,,,,,,,,,,,,,,M,,,,,
"""Chris O'Neil""","""Christine O'Neil ""","""Australia""","""1956-04-19""",,"""1.75m""",1973,,"""Right-handed""",,,"""Australia""",,,,,,,,,,,,F,,,,,
"""Chris Evert""","""Christine Marie Evert""","""United States""","""1954-12-21""",,"""1.68 m""",1972,"""September 5, 1989""","""Right-handed (two-handed backhand)""","""$8,895,195""","""1995 (member page)""","""Boca Raton, Florida""",,,"""Jimmy EvertDennis Ralston""",,,,,,,,,F,,,,,
"""Helen Angwin""",,"""Australia""",,,,,,,,,,,,,,,,,,,,,F,,,,,
"""Louise Hammond""","""Louise Ellsworth Hammond Raymond""","""United States""","""1886-12-29""","""August 1991(-)(-) Scarsdale, NY, United States""",,,,,,,,,,,,,,,,,,,F,,,,,
"""Florence Sutton""","""Florence E. Sutton""","""United States""","""1883-09-02""","""October 16, 1974(1974-10-16) (aged 91)""",,,,,,,,,,,,,,,,,,,F,,,,,
"""Conchita Martínez""","""Inmaculada Concepción Martínez Bernat""","""Spain""","""1972-04-16""",,"""1.73 m""","""February 1988""","""15 April 2006""","""Right-handed (one-handed backhand)""","""$11,527,977""",,"""Barcelona, Spain  San Diego, California, U.S.""",,,,,,,,,,,,F,,,,,
"""Lorraine Coghlan""",,"""Australia""","""1937-09-23""",,,,,,,,"""Victoria, Australia""",,,,,,,,,,,,F,,,,,
"""Nancye Wynne Bolton""",,"""Australia""","""1916-12-02""","""9 November 2001(2001-11-09) (aged 84)Melbourne, Australia""","""1.78 m""",,,"""Right-handed""",,"""2006 (member page)""",,,,,,,,,,,,,F,,,,,
"""Muriel Robb""","""Muriel Evelyn Robb""","""United Kingdom""","""1878-05-13""","""12 February 1907(1907-02-12) (aged 28)Newcastle upon Tyne, England""",,,,"""Right–handed""",,,,,,,,,,,,,,,F,,,,,
"""Esna Boyd""","""Esna Boyd Robertson""","""Australia""","""1899-09-21""","""13 November 1966(1966-11-13) (aged 67)Scotland""",,,,,,,,,,,,,,,,,,,F,,,,,
"""Aline Terry""","""Aline M. Terry""","""United States""",,,,,,,,,,,,,,,,,,,,,F,,,,,
"""Naomi Osaka""",,"""Japan""","""1997-10-16""",,"""1.80 m""","""September 2013""",,"""Right-handed (two-handed backhand)""","""$19,674,032""",,"""Beverly Hills, California, U.S.""",,,"""Wim Fissette (2020–)""",,"""naomiosaka.com""","""大坂 なおみ""",,,,,,F,,,,,
"""Maureen Connolly""","""Maureen Catherine Connolly""","""United States""","""1934-09-17""","""June 21, 1969(1969-06-21) (aged 34)Dallas, Texas, U.S.""","""1.65 m""","""Amateur""","""February 1955 (age 20)""","""Right-handed (one-handed backhand)""",,"""1968 (member page)""",,,,,"""Southern Methodist University(1964–196x)""","""mcbtennis.org""",,,,,,,F,,,,,
"""Angela Buxton""",,"""United Kingdom""","""1934-08-16""","""14 August 2020(2020-08-14) (aged 85)Fort Lauderdale, Florida, U.S.[1]""",,,1957,,,,,,,,,,,,,,,,F,,,,,
"""Louise Brough""","""Althea Louise Brough""","""United States""","""1923-03-11""","""February 3, 2014(2014-02-03) (aged 90)Vista, California""","""1.71 m""",,1959,"""Right-handed (one-handed backhand)""",,"""1967 (member page)""",,,,,,,,,,,,,F,,,,,
"""Kay Stammers""","""Katherine Esther Stammers""","""United Kingdom""","""1914-04-03""","""23 December 2005(2005-12-23) (aged 91)Louisville, Kentucky, U.S.""",,,,"""Left-handed""",,,,,,,,,,,,,,,F,,,,,
"""Caroline Wozniacki""",,"""Denmark""","""1990-07-11""",,"""1.77 m""","""18 July 2005""","""24 January 2020""","""Right-handed (two-handed backhand)""","US$ 35,233,415 5th in all-time rankings",,"""Fisher Island, United StatesOdense, DenmarkMonte Carlo, MonacoNew York, United States""",,,"""Piotr Woźniacki (2004–2020)""",,"""carolinewozniacki.com""",,,,,,,F,,,,,
"""Thelma Coyne""","""Thelma Dorothy Coyne Long""","""Australia""","""1918-10-14""","""13 April 2015(2015-04-13) (aged 96)Sydney, Australia""",,,,"""Right-handed""",,"""2013 (member page)""",,,,,,,,,,,,,F,,,,,
"""Joan Hartigan""","""Joan Marcia Bathurst Hartigan""","""Australia""","""1912-06-06""","""31 August 2000(2000-08-31) (aged 88)Sydney, New South Wales""",,,,,,,,,,,,,,,,,,,F,,,,,
"""Petra Kvitová""",,"""Czech Republic""","""1990-03-08""",,"""1.82 m""",2006,,"""Left-handed (two-handed backhand)""","$32,802,802 6th in all-time rankings",,"""Monte Carlo, Monaco""",,,"""David Kotyza (2008–2016) František Čermák (2016) Jiří Vaněk (2016–present)""",,"""petrakvitova.net""",,,,,,,F,,,,,
"""Maria Bueno""","""Maria Esther Andion Bueno""","""Brazil""","""1939-10-11""","""8 June 2018(2018-06-08) (aged 78)São Paulo, Brazil""","""1.70 m""",1950,1977,"""Right-handed (one-handed backhand)""",,"""1978 (member page)""",,,,,,"""www.mariabueno.org""",,,,,,,F,,,,,
"""Maud Barger-Wallach""",,"""United States""",,"""April 2, 1954(1954-04-02) (aged 83)Baltimore, Maryland""",,,,"""Right-handed""",,"""1958 (member page)""",,,,,,,,,,,,,F,,,,,
"""Jeļena Ostapenko""",,"""Latvia""","""1997-06-08""",,"""1.77 m""","""23 April 2012""",,"""Right-handed (two-handed backhand)""","""US$9,074,100""",,"""Riga, Latvia""",,,"""Marion Bartoli""",,,,,,,,,F,,,,,
"""Louise Martin""",,"""Ireland""","""1865-09-03""",,,1885,,,,,,,,,,,,,,,,,F,,,,,
"""Shirley Bloomer""",,"""Great Britain""","""1934-06-13""",,,,,,,,,,,,,,,,,,,,F,,,,,
"""Jennifer Capriati""","""Jennifer Maria Capriati""","""United States""","""1976-03-29""",,"""1.70 m""","""March 5, 1990""",2004,"""Right-handed (two-handed backhand)""","""US$ 10,206,639""","""2012 (member page)""","""Wesley Chapel, Florida, U.S.""",,,,,,,,,,,,F,,,,,
"""Lesley Turner""","""Lesley Rosemary Turner Bowrey""","""Australia""","""1942-08-16""",,,,,"""Right-handed(one-handed backhand)""",,,,,,,,,,,,,,,F,,,,,
"""Amélie Mauresmo""",,"""France""","""1979-07-05""",,"""1.75 m""",1993,"""3 December 2009""","""Right-handed (one-handed backhand)""","US$15,022,476 18th in all-time rankings","""2015 (member page)""","""Geneva, Switzerland""",,,"""Loïc Courteau (2002–2008)Hugo Lecoq (2008–2009)""",,,,,,,,,F,,,,,
"""Dorothy Round""","""Dorothy Edith Round""","""United Kingdom""","""1909-07-13""","""12 November 1982(1982-11-12) (aged 73)Kidderminster, Hereford and Worcester, England""",,,,"""Right-handed (one-handed backhand)""",,"""1986 (member page)""",,,,,,,,,,,,,F,,,,,
"""Patricia Todd""","""Patricia Canning Todd ""","""United States""","""1922-07-22""","""September 5, 2015(2015-09-05) (aged 93)Encinitas, California""",,,,"""Right handed""",,,,,,,,,,,,,,,F,,,,,
"""Marion Zinderstein""","""Marion Hall Zinderstein""","""United States""","""1896-05-06""","""August 14, 1980(1980-08-14) (aged 84)""","""1.63 m""",,,"""Right-handed""",,,,,,,,,,,,,,,F,,,,,
"""Monica Seles""",,"""Yugoslavia (1988–1992) FR Yugoslavia (1992–1994) United States (1994–)""","""1973-12-02""",,"""178 cm""",1989,"""2008 (last match in 2003)""","""Left-handed (two-handed both sides)""","""US$14,891,762""","""2009 (member page)""","""Sarasota, Florida, United States""",,,,,,,,,,,,F,,,,,
"""Hilde Sperling""",,"""Germany Denmark""","""1908-03-26""","""7 March 1981(1981-03-07) (aged 72)Helsingborg, Sweden""",,,,"""Right-handed""",,"""2013 (member page)""",,,,,,,,,,,,,F,,,,,
"""Laura Knight""",,"""United States""",,,,,,,,,,,,,,,,,,,,,F,,,,,
"""Patricia Ward""",,"""United Kingdom""","""1929-02-27""","""22 June 1985(1985-06-22) (aged 56)""",,,,,,,,,,,,,,,,,,,F,,,,,
"""Billie Jean King""",,"""United States""","""1943-11-22""",,"""1.64 m""","""1959""","""1990""","""Right-handed (one-handed backhand)""",,,,,,,,,,,,,,,F,,,,,
"""Ethel Larcombe""",,"""United Kingdom""","""1879-06-08""","""11 August 1965(1965-08-11) (aged 86)Budleigh Salterton, England""",,,,"""Right handed""",,,,,,,,,,,,,,,F,,,,,
"""Maud Barger Wallach""",,"""United States""",,"""April 2, 1954(1954-04-02) (aged 83)Baltimore, Maryland""",,,,"""Right-handed""",,"""1958 (member page)""",,,,,,,,,,,,,F,,,,,
"""Lillian Watson""","""Lillian Mary Watson""","""United Kingdom""","""1857-09-17""","""27 May 1918(1918-05-27) (aged 60)Berkswell, England""","""1.75 m""",,,,,,,,,,,,,,,,,,F,"""""Pokey""""","""United States""","""146 lb (66 kg)""",,
"""Anastasia Myskina""",,"""Russia""","""1981-07-08""",,"""1.74 m""",1998,"""2007 (last match)""","""Right-handed (two-handed backhand)""","""$5,606,725""",,"""Moscow""",,,,,,,,,,,,F,,,,,
"""Zsuzsi Körmöczy""",,"""Hungary""","""1924-08-25""","""16 September 2006(2006-09-16) (aged 82)""",,,,"""Right-handed""",,,,,,,,,,,,,,,F,,,,,
"""Evelyn Sears""","""Evelyn Georgianna Sears""","""United States""","""1875-03-09""","""November 10, 1966(1966-11-10) (aged 91)Waltham, MA, United States""",,,,,,,,,,,,,,,,,,,F,,,,,
"""Lucie Šafářová""",,"""Czech Republic""","""1987-02-04""",,"""1.77 m""",2001,"""29 May 2019""","""Left-handed (two-handed backhand)""","""$12,637,555""",,"""Monte Carlo, Monaco""",,,"""Rob Steckley""",,"""lucie-safarova.com""",,,,,,,F,,,,,
"""Dorothea Douglass""","""Dorothea Katherine Douglass Lambert Chambers""","""United Kingdom""","""1878-09-03""","""7 January 1960(1960-01-07) (aged 81)Kensington, London, England""",,,,,,"""1981 (member page)""",,,,,,,,,,,,,F,,,,,
"""Simone Mathieu""","""Simonne Passemard-Mathieu""","""France""","""1908-01-31""","""7 January 1980(1980-01-07) (aged 71)Chatou, France""",,,,"""Right–handed (one-handed backhand)""",,"""2006 (member page)""",,,,,,,,,,,,,F,,,,,
"""Garbiñe Muguruza""",,"""Spain""","""1993-10-08""",,"""1.82 m""","""March 2012""",,"""Right-handed (two-handed backhand)""","US$ 21,693,823
15th in all-time rankings",,"""Geneva, Switzerland""",,,"""Conchita Martínez""",,"""www.garbinemuguruza.com""",,,,,,,F,,,,,
"""Samantha Stosur""",,"""Australia""","""1984-03-30""",,"""1.75 m""",1999,,"""Right-handed (two-handed backhand)""","$19,191,876
21st in all-time rankings",,"""Gold Coast, Queensland""",,,"""Rennae Stubbs (2019–present)""",,"""samstosur.com""",,,,,,,F,,,,,
"""Eugenie Bouchard""",,"""Canada""","""1994-02-25""",,"""1.78 m""",2009,,"""Right-handed (two-handed backhand)""","""$6,664,795""",,"""Las Vegas, Nevada, United States""",,,"""Rennae Stubbs (2020–)""",,,,,,,,,F,,,,,
"""Billie Jean Moffitt""",,"""United States""","""1943-11-22""",,"""1.64 m""","""1959""","""1990""","""Right-handed (one-handed backhand)""",,,,,,,,,,,,,,,F,,,,,
"""Bianca Andreescu""",,"""Canada""","""2000-06-16""",,"""1.70 m""",2017,,"""Right-handed (two-handed backhand)""","""$7,000,466""",,"""Thornhill, Ontario, Canada""",,,"""Sylvain Bruneau""",,,,,,,,,F,,,,,
"""Kathleen Godfree""","""Kathleen McKane Godfree""","""Great Britain""","""1896-05-07""","""19 June 1992(1992-06-19) (aged 96)London, England""",,,,"""Right-handed""",,"""1978 (member page)""",,,,,,,,,,,,,F,,,,,
"""Sharon Walsh""",,"""United States""","""1952-02-24""",,"""1.74 m""",,,"""Right-handed""",,,,,,,,,,,,,,,F,,,,,
"""Dorothea Douglass Chambers""","""Dorothea Katherine Douglass Lambert Chambers""","""United Kingdom""","""1878-09-03""","""7 January 1960(1960-01-07) (aged 81)Kensington, London, England""",,,,,,"""1981 (member page)""",,,,,,,,,,,,,F,,,,,
"""Myrtle McAteer""",,"""United States""","""1878-06-12""","""October 26, 1952(1952-10-26) (aged 74)Los Angeles, USA""",,,,,,,,,,,,,,,,,,,F,,,,,
"""Dinara Safina""","""Dinara Mubinovna Safina""","""Russia""","""1986-04-27""",,"""1.85 m""",2000,"""11 May 2014 (last match 2011)""","""Right-handed (two-handed backhand)""","""$10,585,640""",,"""Monte Carlo, Monaco""",,,,,,,,,,,,F,,,,,
"""Dora Boothby""","""Penelope Dora Harvey Boothby""","""United Kingdom""","""1881-08-02""","""22 February 1970(1970-02-22) (aged 88)Hammersmith, England""",,,,,,,,,,,,,,,,,,,F,,,,,
"""Karolína Plíšková""",,"""Czech Republic""","""1992-03-21""",,"""1.86 m""",2009,,"""Right-handed (two-handed backhand)""","US$ 20,599,271
18th in all-time rankings",,"""Monte Carlo, Monaco""",,,"""Olga Savchuk (2019–)[1]Azuz Simcich (2017-)[2]Sascha Bajin (2020–)""",,"""karolina-pliskova.com""",,,,,,,F,,,,,
"""Sandra Reynolds""",,"""South Africa""","""1939-03-04""",,,,,,,,,,,,,,,,,,,,F,,,,,
"""Elisabeth Moore""","""Elisabeth Holmes Moore""","""United States""","""1876-03-05""","""January 22, 1959(1959-01-22) (aged 82)Starke, FL, United States""",,,,"""Right-handed (one-handed backhand)""",,"""1971 (member page)""",,,,,,,,,,,,,F,,,,,
"""May Jacks""",,"""United Kingdom""",,,,,,,,,,,,,,,,,,,,,F,,,,,
"""Sue Barker""",,"""Great Britain""","""1956-04-19""",,"""1.65 m""",1973,1984,"""Right-handed (one-handed backhand)""","""US$ 878,701""",,"""Stanton, Gloucestershire, England""",,,,,,,,,,,,F,,,,,
"""Margaret Osborne duPont""","""Margaret Evelyn Osborne duPont""","""United States""","""1918-03-04""","""October 24, 2012(2012-10-24) (aged 94)El Paso, Texas, U.S.""","""1.65 m""",,,"""Right-handed""",,"""1967 (member page)""",,,,,,,,,,,,,F,,,,,
"""Althea Gibson""",,"""United States""","""1927-08-25""","""September 28, 2003(2003-09-28) (aged 76)East Orange, New Jersey, U.S.""","""1.80 m""",,1958,"""Right-handed""",,"""1971 (member page)""",,,,,,,,,,,,,F,,,,,
"""Kim Clijsters""",,"""Belgium""","""1983-06-08""",,"""1.74 m""","""17 August 1997""","""May 2007 – August 2009,  September 2012 – February 2020""","""Right-handed (two-handed backhand)""",,"US$24,461,695
12th in all-time rankings","""Bree, BelgiumNew Jersey, U.S.""",,,,"""kimclijsters.com""",,,,,,,,F,,,,,
"""Zina Garrison""",,"""United States""","""1963-11-16""",,"""1.64 m""",1982,1997,"""Right-handed (one handed-backhand)""","""$4,590,816""",,"""Houston, Texas""",,,,,,,,,,,,F,,,,,
"""Evonne Goolagong-Cawley""","""Evonne Fay Goolagong""","""Australia""","""1951-07-31""",,"""1.68 m""",,1983,"""Right-handed (one-handed backhand)""","""US $1,399,431""","""1988 (member page)""",,,,,,,,,,,,,F,,,,,
"""Mary Carter Reitano""",,"""Australia""","""1934-11-29""",,,,,,,,,,,,,,,,,,,,F,,,,,
"""Wendy Turnbull""",,"""Australia""","""1952-11-26""",,"""1.64 m""",1975,1989,"""Right-handed (one handed-backhand)""","""US$ 2,769,024""",,"""Boca Raton, Florida, USA andSandgate, Queensland, Australia""",,,,,,,,,,,,F,,,,,
